@hollow_yearsp @agussari lprn investigatif terakhir tempo meyakini bhw ahok paling tdk tahu akan suap menyuap ini bahkan bisa terlibat lgsng","display_text_range":[15,140],"source":"\u003ca href=\"http:\/\/twitter.com\" rel=\"nofollow\"\u003etwitter web client\u003c\/a\u003e","truncated":false,"in_reply_to_status_id":810507919531724800,"in_reply_to_status_id_str":"810507919531724800","in_reply_to_user_id":807559950742360064,"in_reply_to_user_id_str":"807559950742360064","in_reply_to_screen_name":"hollow_yearsp","user":{"id":618660382,"id_str":"618660382","name":"monyong putih","screen_name":"monyongputih","location":null,"url":null,"description":null,"protected":false,"verified":false,"followers_count":11,"friends_count":7,"listed_count":0,"favourites_count":752,"statuses_count":1867,"created_at":"tue jun 26 02:41:17 +0000 2012","utc_offset":-28800,"time_zone":"pacific time (us & canada)","geo_enabled":false,"lang":"en","contributors_enabled":false,"is_translator":false,"profile_background_color":"c0deed","profile_background_image_url":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png","profile_background_image_url_https":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png","profile_background_tile":false,"profile_link_color":"1da1f2","profile_sidebar_border_color":"c0deed","profile_sidebar_fill_color":"ddeef6","profile_text_color":"333333","profile_use_background_image":true,"profile_image_url":"http:\/\/abs.twimg.com\/sticky\/default_profile_images\/default_profile_4_normal.png","profile_image_url_https":"https:\/\/abs.twimg.com\/sticky\/default_profile_images\/default_profile_4_normal.png","default_profile":true,"default_profile_image":true,"following":null,"follow_request_sent":null,"notifications":null},"geo":null,"coordinates":null,"place":null,"contributors":null,"is_quote_status":false,"retweet_count":0,"favorite_count":0,"entities":{"hashtags":[],"urls":[],"user_mentions":[{"screen_name":"hollow_yearsp","name":"perfect stranger","id":807559950742360064,"id_str":"807559950742360064","indices":[0,14]},{"screen_name":"agussari","name":"agus sari","id":113025021,"id_str":"113025021","indices":[15,24]}],"symbols":[]},"favorited":false,"retweeted":false,"filter_level":"low","lang":"in","timestamp_ms":"1482075622612"};;;;
rt @republikaonline: plt gubernur minta ahok jelaskan pemberian bonus atlet dki  https:\/\/t.co\/yusv0aeull;;;;
rt @sibonekakayu: bobrok nian ahok djarot ini. mengadakan dzikir dgn cara membohongi abah kh junaedi al bagdadi. bagaimana ini jeng\u2026 ;;;;
rt @bangyupi_06: ahok nabrak uu \"@republikaonline plt gubernur minta ahok jelaskan pemberian bonus atlet dki \nhttps:\/\/t.co\/neyw2nch3w @hari\u2026;;;;
rt @gunromli: saat agus baru berjanji, ahok telah banyak berbuat bagi perempuan https:\/\/t.co\/lstlcopdke yoiiih;;;;
rt @bungy0p1: @republikaonline klo administrasinya tertib gak mungkin bisa jadi masalah spt ini,dan inilah bukti ketidakmampuan ahok dlm me\u2026;;;;
@sylviana_murni programnya sdh dijalankan ahok semuanya ya mpok sylvi\ud83d\ude00\ud83d\ude00\ud83d\ude00\ud83d\ude00\ud83d\ude00","display_text_range":[16,74],"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003etwitter for android\u003c\/a\u003e","truncated":false,"in_reply_to_status_id":809376796663648256,"in_reply_to_status_id_str":"809376796663648256","in_reply_to_user_id":485572637,"in_reply_to_user_id_str":"485572637","in_reply_to_screen_name":"sylviana_murni","user":{"id":2739595495,"id_str":"2739595495","name":"cinta damai","screen_name":"yantisoedjarwo","location":null,"url":null,"description":"ya allah aku bersaksi kepadamu aku ridho kpd anak2ku dng ridho ygsempurna&ridho ygkomplit mk turunkanlah ya allah keridhoanmu kpd mrk dm ridhoku kpd mereka.amin","protected":false,"verified":false,"followers_count":4084,"friends_count":541,"listed_count":7,"favourites_count":97,"statuses_count":55954,"created_at":"sun aug 17 12:00:25 +0000 2014","utc_offset":null,"time_zone":null,"geo_enabled":true,"lang":"id","contributors_enabled":false,"is_translator":false,"profile_background_color":"c0deed","profile_background_image_url":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png","profile_background_image_url_https":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png","profile_background_tile":false,"profile_link_color":"1da1f2","profile_sidebar_border_color":"c0deed","profile_sidebar_fill_color":"ddeef6","profile_text_color":"333333","profile_use_background_image":true,"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/805260862998986752\/3glnuw8n_normal.jpg","profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/805260862998986752\/3glnuw8n_normal.jpg","profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/2739595495\/1418529751","default_profile":true,"default_profile_image":false,"following":null,"follow_request_sent":null,"notifications":null},"geo":null,"coordinates":null,"place":null,"contributors":null,"is_quote_status":false,"retweet_count":0,"favorite_count":0,"entities":{"hashtags":[],"urls":[],"user_mentions":[{"screen_name":"sylviana_murni","name":"sylviana murni","id":485572637,"id_str":"485572637","indices":[0,15]}],"symbols":[]},"favorited":false,"retweeted":false,"filter_level":"low","lang":"in","timestamp_ms":"1482075637466"};;;;
rt @tpk_ri: din syamsuddin: masalah utama bukan ahok, tapi ada kekuatan uang tengah kuasai indonesia https:\/\/t.co\/uk8v3jskqt;;;;
rt @zul1an: anda perlu lihat foto ini. apakah kita akan mendukung calon gubernur yg didukung organisasi seperti ini? tolong rtn\u2026 ;;;;
rt @suburbur: tapi buni yani ternyata pernah 'agak' membela ahok lewat tagar #saveahok lho.. https:\/\/t.co\/oq4o9scbvk;;;;
